item_id,is_eligible_search,is_eligible_checkout,gtin,mpn,identifier_exists,title,description,url,brand,condition,product_category,material,dimensions,length,width,height,dimensions_unit,weight,item_weight_unit,age_group,image_url,additional_image_urls,video_url,model_3d_url,price,sale_price,sale_price_start_date,sale_price_end_date,unit_pricing_measure,pricing_trend,availability,availability_date,expiration_date,pickup_method,pickup_sla,group_id,listing_has_variations,variant_dict,item_group_title,color,size,size_system,gender,offer_id,custom_variant1_category,custom_variant1_option,custom_variant2_category,custom_variant2_option,custom_variant3_category,custom_variant3_option,shipping,is_digital,seller_name,marketplace_seller,seller_url,seller_privacy_policy,seller_tos,accepts_returns,return_deadline_in_days,accepts_exchanges,return_policy,popularity_score,return_rate,warning,age_restriction,review_count,star_rating,store_review_count,store_star_rating,q_and_a,reviews,related_product_id,relationship_type,target_countries,store_country,geo_price,geo_availability
,,,,,,He shou wu - 1 flacon de 100 gélules -  50g,Pour tonifier le Qi des Reins et du Foie.,https://calebasse.com/produits/he-shou-wu-wan-4064?product=5212,,,,,,,,,,,,,,,,,26.9 EUR,,,,,,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,He shou wu - 1 flacon de poudre concentrée - 100g,Pour tonifier le Qi des Reins et du Foie.,https://calebasse.com/produits/he-shou-wu-wan-4064?product=5213,,,,,,,,,,,,,,,,,38.9 EUR,,,,,,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Illustration""Yang"" et ""Yin"" - 1 peinture - Yin",,https://calebasse.com/produits/gua-hua-yang-illustrationyang-4997?product=6846,,,,,,,,,,,,,,,,,60 EUR,,,,,,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Illustration""Yang"" et ""Yin"" - 1 peinture - Yang",,https://calebasse.com/produits/gua-hua-yang-illustrationyang-4997?product=6845,,,,,,,,,,,,,,,,,60 EUR,,,,,,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Illustration""Yang"" et ""Yin"" - 2 peintures : Ying + Yang, <span style=""color: rgb(251, 94, 5);""><b> -10% </b></span>",,https://calebasse.com/produits/gua-hua-yang-illustrationyang-4997?product=7445,,,,,,,,,,,,,,,,,120 EUR,108 EUR,,,,,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Osmanthus - Gui Hua - 1 Petit Sachet plante 50g,"Fleurs dorées à l’arôme envoûtant, utilisées depuis des siècles en Chine pour un souffle plus libre.",https://calebasse.com/produits/gui-hua-olivier-odorant-3794?product=4218,,,,,,,,,,,,,,,,,16.9 EUR,,,,,,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Osmanthus - Gui Hua - 2 Petits Sachets plantes 50g,"Fleurs dorées à l’arôme envoûtant, utilisées depuis des siècles en Chine pour un souffle plus libre.",https://calebasse.com/produits/gui-hua-olivier-odorant-3794?product=7539,,,,,,,,,,,,,,,,,33.8 EUR,30.42 EUR,,,,,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Ecorce de Magnolia - Hou po - 1 Petit Sachet plante 100g,Pour retrouver une digestion saine.,https://calebasse.com/produits/hou-pu-ecorce-de-magnolia-3809?product=4286,,,,,,,,,,,,,,,,,9.7 EUR,,,,,,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Ecorce de Magnolia - Hou po - 1 Grand Sachet plante 300g,Pour retrouver une digestion saine.,https://calebasse.com/produits/hou-pu-ecorce-de-magnolia-3809?product=4287,,,,,,,,,,,,,,,,,28.9 EUR,,,,,,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Chia graine bio - 1 Grand Sachet plante 200g,Superaliment ancestral à ajouter dans toute routine santé,https://calebasse.com/produits/chia-graine-bio-5190?product=7503,,,,,,,,,,,,,,,,,9.9 EUR,,,,,,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Bu nao an shen wan - 1 flacon de 100 gélules -  50g,Pour nourrir le Qi et rafraîchir le Shen.,https://calebasse.com/produits/bu-nao-an-shen-wan-4021?product=5044,,,,,,,,,,,,,,,,,29.9 EUR,,,,,,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Bu nao an shen wan - 1 flacon de poudre concentrée - 100g,Pour nourrir le Qi et rafraîchir le Shen.,https://calebasse.com/produits/bu-nao-an-shen-wan-4021?product=5046,,,,,,,,,,,,,,,,,40.9 EUR,,,,,,AVAILABLE_SOON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Chai hu gui zhi gan jiang tang - 1 flacon de 100 gélules -  50g,Pour apaiser les manifestations du Shao Yang.,https://calebasse.com/produits/chai-hu-gui-zhi-gan-jiang-tang-4488?product=5068,,,,,,,,,,,,,,,,,28.9 EUR,,,,,,AVAILABLE_SOON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Chai hu gui zhi gan jiang tang - 1 flacon de poudre concentrée - 100g,Pour apaiser les manifestations du Shao Yang.,https://calebasse.com/produits/chai-hu-gui-zhi-gan-jiang-tang-4488?product=5070,,,,,,,,,,,,,,,,,39.9 EUR,,,,,,AVAILABLE_SOON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Ba zheng san - 1 flacon de 100 gélules -  50g,Pour favoriser la miction.,https://calebasse.com/produits/ba-zheng-san-4489?product=5000,,,,,,,,,,,,,,,,,26.9 EUR,,,,,,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Ba zheng san - 1 flacon de poudre concentrée - 100g,Pour favoriser la miction.,https://calebasse.com/produits/ba-zheng-san-4489?product=5002,,,,,,,,,,,,,,,,,38.9 EUR,,,,,,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Dan shen pian - 1 flacon de 100 gélules -  50g,Pour le maintien du système vasculaire.,https://calebasse.com/produits/dan-shen-pian-4039?product=5112,,,,,,,,,,,,,,,,,27.9 EUR,,,,,,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Dan shen pian - 1 flacon de poudre concentrée - 100g,Pour le maintien du système vasculaire.,https://calebasse.com/produits/dan-shen-pian-4039?product=5114,,,,,,,,,,,,,,,,,38.9 EUR,,,,,,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Livre : Acupuncture et médecine traditionnelle orientale. Prévention et thérapeutique - 1 livre,"De Tai-Thu Nguyen, J Bossy, F Guevin",https://calebasse.com/produits/livre-acupuncture-et-medecine-traditionnelle-orientale-5142?product=7386,,,,,,,,,,,,,,,,,26 EUR,,,,,,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Cuillère à moxa - Ai Jiu Shao - 1 Pièce,Usage réservé aux professionnels uniquement.,https://calebasse.com/produits/ai-jiu-shao-cuillere-a-moxa-4948?product=7156,,,,,,,,,,,,,,,,,4.9 EUR,,,,,,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"100 aiguilles sans tube -0,30 x 25 mm - 1 boîte d’aiguilles siliconées",Usage réservé aux professionnels uniquement.,https://calebasse.com/produits/100-aiguilles-sans-tube-030-x-25-mm-4596?product=6652,,,,,,,,,,,,,,,,,2.9 EUR,,,,,,OUT_OF_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"100 aiguilles sans tube -0,30 x 25 mm - 10 boîtes d’aiguilles siliconées + 1 gratuite",Usage réservé aux professionnels uniquement.,https://calebasse.com/produits/100-aiguilles-sans-tube-030-x-25-mm-4596?product=6653,,,,,,,,,,,,,,,,,29 EUR,,,,,,OUT_OF_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Qing fei pai du tang - 1 Petit Sachet plante 192g,Pour soulager les inconforts respiratoires.,https://calebasse.com/produits/qing-fei-pai-du-tang-4438?product=6293,,,,,,,,,,,,,,,,,19.9 EUR,,,,,,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jia wei xiao yao san - 1 flacon de 100 gélules -  50g,Pour calmer l'irritabilité avant les règles.,https://calebasse.com/produits/jia-wei-xiao-yao-san-4074?product=5252,,,,,,,,,,,,,,,,,27.9 EUR,,,,,,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jia wei xiao yao san - 1 flacon de poudre concentrée - 100g,Pour calmer l'irritabilité avant les règles.,https://calebasse.com/produits/jia-wei-xiao-yao-san-4074?product=5254,,,,,,,,,,,,,,,,,38.9 EUR,,,,,,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
